x,y,ID
0.058,0.0086,2004252N32320
0.024,0.0217,2004255N11267
0.0183,0.2109,2004255N23120
0.6263,0.888,2004256N23089
0.3824,0.0568,2004258N16300
0.1504,0.8817,2004260N11331
0.7741,0.1639,2004263N13153
0.0417,0.0241,2004264N13328
0.5861,0.1975,2004274N16069
0.8998,0.7383,2004275N14139
0.9928,0.7989,2004276N12087
0.0933,0.0253,2004279N14249
0.2501,0.3541,2004281N23087
0.1418,0.0447,2004283N24265
0.0268,0.9032,2004284N07157
0.0826,0.9122,2004284N30295
0.1619,0.1242,2004286N14263
0.1271,0.3551,2004288N09164
0.2058,0.2346,2004299N18251
0.1528,0.4144,2004299S09063
0.9241,0.0925,2004307N09068
0.426,0.068,2004312S05085
0.3715,0.1553,2004319N10134
0.0875,0.0803,2004325S06078
0.0361,0.0432,2004327N16125
0.6774,0.1178,2004331N28320
0.0209,0.0189,2004332N02072
0.1155,0.7513,2004333N06154
0.2102,0.1016,2004338S09113
0.7662,0.5464,2004344N06178
0.9946,0.0953,2004348S15173
0.0468,0.8108,2004352N10154
0.0292,0.0587,2004357S06095
0.9012,0.0719,2004357S16216
0.54,0.2022,2004365S13120
0.5265,0.1985,2005003S09177
0.1673,0.1262,2005006S09099
0.6799,0.3744,2005007N04085
0.9824,0.4226,2005012N04090
0.0056,0.0762,2005013N05153
0.0291,0.0758,2005013S14124
0.0947,0.0992,2005015S06089
0.148,0.4544,2005017S09061
0.2311,0.0131,2005022S14112
0.0875,0.0355,2005026S20040
0.4133,0.1269,2005027S18168
0.0125,0.3741,2005029S11072
0.772,0.8716,2005032S14195
0.9412,0.1351,2005035S14136
0.8749,0.5607,2005035S15118
0.3869,0.6211,2005041S13181
0.794,0.0734,2005042S12190
0.0617,0.0531,2005054S09173
0.2138,0.0892,2005060S12179
0.8796,0.0865,2005063S12141
0.0045,0.1058,2005067S12120
0.1952,0.3864,2005071N06152
0.0103,0.0342,2005079S10067
0.0071,0.0102,2005089S10085
0.2284,0.052,2005092S11102
0.1878,0.0611,2005103S08138
0.6551,0.5507,2005107N07151
0.1114,0.9452,2005110S17180
0.1386,0.2138,2005138N10265
0.0391,0.1287,2005148N06156
0.1419,0.5402,2005160N17276
0.9963,0.3722,2005172N22069
0.0367,0.0758,2005173N14258
0.0612,0.0313,2005177N13263
0.9859,0.972,2005179N22088
0.156,0.0951,2005180N20265
0.1373,0.0489,2005185N15261
0.0147,0.3054,2005185N18273
0.1709,0.0675,2005186N12299
0.208,0.3621,2005192N11318
0.4147,0.0211,2005192N22155
0.2002,0.0703,2005199N15256
0.0519,0.1088,2005199N21168
0.494,0.6668,2005202N13138
0.0282,0.1331,2005203N25285
0.1454,0.1185,2005205N19267
0.1413,0.0246,2005210N19115
0.9983,0.5218,2005210N21088
0.0283,0.0567,2005211N09141
0.1885,0.0743,2005215N14224
0.9221,0.0524,2005215N28291
0.0967,0.1391,2005217N13327
0.1549,0.071,2005222N14131
0.172,0.1029,2005222N14246
0.4343,0.1682,2005223N13251
0.0222,0.0654,2005226N13316
0.0254,0.181,2005229N21156
0.39,0.0711,2005230N20144
0.1595,0.0682,2005232N13263
0.2283,0.096,2005235N19266
0.147,0.019,2005236N23285
0.548,0.0597,2005237N14148
0.1544,0.1175,2005238N17255
0.0364,0.2587,2005241N14315
0.0405,0.5059,2005241N15155
0.1491,0.2661,2005245N19315
0.0523,0.2124,2005248N08142
0.436,0.945,2005249N26281
0.5359,0.9852,2005249N28293
0.2149,0.342,2005255N14113
0.1787,0.05,2005255N15246
0.9155,0.0882,2005255N20088
0.0128,0.4256,2005257N15120
0.0877,0.4428,2005257N20069
0.5908,0.1399,2005258N12242
0.5614,0.8918,2005260N20091
0.9859,0.2754,2005261N13245
0.0082,0.1739,2005261N13306
0.0597,0.0539,2005261N14252
0.1683,0.1211,2005261N21290
0.0255,0.0505,2005262N13127
0.138,0.8964,2005262N20155
0.0259,0.1714,2005266N15252
0.0573,0.0387,2005268N19146
0.755,0.1578,2005271N17255
0.0512,0.2527,2005274N12327
0.1571,0.1492,2005274N17086
0.0386,0.0584,2005275N19274
0.1813,0.9505,2005277N34328
0.073,0.387,2005278N27280
0.0835,0.0392,2005279N17111
0.6932,0.0796,2005281N26303
0.0334,0.666,2005281N33339
0.4084,0.1365,2005282N22138
0.1357,0.0702,2005287S09084
0.1444,0.0891,2005288N11259
0.03,0.9166,2005289N18282
0.0431,0.6172,2005296N16293
0.2431,0.1293,2005298N12088
0.0504,0.2774,2005300N10279
0.4418,0.0986,2005301N13117
0.1512,0.035,2005308S07098
0.1487,0.1474,2005311N08140
0.4065,0.1097,2005316N05134
0.414,0.4483,2005318N13298
0.2171,0.1204,2005322S04095
0.9936,0.9533,2005324N08085
0.8311,0.767,2005324N27312
0.9279,0.1332,2005330N09096
0.0136,0.0859,2005333N32311
0.227,0.1487,2005338N09093
0.9693,0.2593,2005349N06090
0.0259,0.0432,2005350N08127
0.0334,0.1442,2005351S09084
0.0195,0.1411,2005364N24324
0.135,0.0676,2006006S11129
0.0286,0.7819,2006007S15182
0.0208,0.0523,2006012N03081
