x,y,ID
0.0404,0.0258,2007084S12157
0.9675,0.0598,2007085S11085
0.0452,0.0148,2007090N06158
0.1059,0.0886,2007091S14175
0.0716,0.5636,2007100S22037
0.9748,0.0167,2007127N36286
0.2042,0.8571,2007133N15091
0.0396,0.0778,2007135N08147
0.0648,0.0286,2007136S10158
0.0585,0.8272,2007147N13249
0.0202,0.4768,2007150N14263
0.0654,0.7675,2007151N14072
0.0844,0.7695,2007151N18273
0.0868,0.5312,2007163N15250
0.0371,0.0608,2007172N15088
0.0653,0.0646,2007178N18089
0.0964,0.1716,2007184N16112
0.8417,0.1225,2007188N04148
0.1056,0.054,2007191N17241
0.1093,0.7312,2007196N11234
0.1199,0.1302,2007196N15246
0.0727,0.0906,2007203N13255
0.3321,0.9946,2007208N20155
0.6909,0.039,2007208S03086
0.0802,0.4702,2007212N36294
0.0348,0.0231,2007213N12115
0.121,0.3763,2007213N13238
0.6501,0.162,2007216N18138
0.0831,0.1068,2007219N15130
0.1053,0.8664,2007221N13234
0.009,0.0313,2007223N19136
0.1153,0.3542,2007225N12331
0.0452,0.084,2007227N24269
0.0739,0.12,2007240N17153
0.065,0.1275,2007242N13264
0.0893,0.4514,2007242N19251
0.1087,0.9974,2007244N12303
0.0339,0.0618,2007249N24161
0.0472,0.0817,2007251N30288
0.037,0.0488,2007254N18140
0.0949,0.0789,2007255N13316
0.0866,0.1972,2007255N27265
0.0197,0.1179,2007257N16134
0.0301,0.1186,2007261N13254
0.1192,0.1659,2007262N09138
0.9973,0.1972,2007262N16233
0.0711,0.3315,2007265N20122
0.9955,0.0808,2007265N29275
0.9996,0.6616,2007266N36314
0.0817,0.1558,2007268N10324
0.9926,0.0742,2007269N22265
0.0908,0.2949,2007271N14334
0.7918,0.0533,2007272N15251
0.0674,0.0824,2007272N17125
0.9533,0.4126,2007274N18131
0.9964,0.0416,2007274N28173
0.0888,0.5902,2007276N20147
0.0247,0.3961,2007282N19181
0.0968,0.0201,2007285N30307
0.9708,0.3626,2007288N15251
0.0449,0.458,2007291N19148
0.1197,0.9359,2007297N18300
0.0523,0.995,2007298N18136
0.9903,0.1098,2007300N11068
0.0457,0.0796,2007306N18133
0.0955,0.2287,2007313N16148
0.0393,0.9727,2007314N10093
0.9994,0.109,2007315S05095
0.9991,0.1508,2007317S10150
0.0395,0.0477,2007322S06075
0.9067,0.0645,2007323N09128
0.7638,0.1051,2007324N10140
0.0442,0.0578,2007327N09152
0.0348,0.1609,2007330N10141
0.5301,0.0214,2007337S12186
0.0765,0.1545,2007345N18298
0.1278,0.0221,2007346S12073
0.0369,0.6895,2007352S12088
0.0264,0.0439,2007360S10116
0.9652,0.0997,2007363S20043
0.8953,0.0697,2007365S15134
0.0362,0.0576,2008008S18184
0.0452,0.0919,2008012N12123
0.0101,0.081,2008015S16162
0.9994,0.1472,2008023S10050
0.3694,0.0693,2008026S11064
0.9331,0.1252,2008026S12179
0.9998,0.0768,2008033S11083
0.927,0.0319,2008035S14101
0.9997,0.0314,2008037S10055
0.9454,0.0572,2008042S16122
0.0369,0.0445,2008058S15131
0.1261,0.2065,2008060S19151
0.9602,0.0894,2008062S10064
0.0301,0.0365,2008065S12096
0.9623,0.052,2008079S12069
0.9875,0.0343,2008080S17163
0.1096,0.0219,2008083S12102
0.0426,0.0565,2008104N08128
0.1208,0.1395,2008108S13158
0.0316,0.1952,2008111S06082
0.039,0.9078,2008111S08096
0.4841,0.1262,2008117N11090
0.0427,0.122,2008128N07134
0.0837,0.1159,2008135N12116
0.066,0.3973,2008135N16125
0.0272,0.3223,2008147N10141
0.113,0.0355,2008150N10274
0.085,0.5718,2008152N18273
0.9982,0.9997,2008157N16066
0.0467,0.0736,2008168N22090
0.0303,0.0315,2008169N08135
0.0837,0.474,2008179N12252
0.0797,0.8807,2008180N14238
0.0557,0.0662,2008184N15254
0.6457,0.0579,2008185N13337
0.0983,0.1265,2008188N14260
0.9989,0.0531,2008193N20126
0.116,0.6053,2008194N11266
0.098,0.1705,2008198N10265
0.1144,0.0706,2008201N32280
0.0615,0.1903,2008203N18276
0.1048,0.9056,2008204N13260
0.0268,0.0611,2008206N22133
0.0933,0.0342,2008217N19120
0.1029,0.1253,2008217N28273
0.0961,0.1602,2008218N10224
0.0958,0.2613,2008220N12250
0.9867,0.7419,2008223N20086
0.1145,0.9995,2008223N27151
0.0245,0.0449,2008224N24122
0.0759,0.0886,2008226N22134
0.051,0.1068,2008227N16255
0.0864,0.0346,2008229N13147
0.6621,0.3603,2008229N18293
0.0709,0.0645,2008237N18253
0.0587,0.078,2008238N13130
0.0232,0.0428,2008238N13293
0.6519,0.0215,2008241N19303
0.5804,0.2943,2008245N17323
0.0963,0.2437,2008246N12338
0.1076,0.4056,2008246N19250
0.0463,0.1643,2008251N15256
0.6157,0.9448,2008252N16128
0.0415,0.0952,2008253N29150
0.1043,0.8731,2008257N28148
0.0464,0.1433,2008259N20089
0.0775,0.0321,2008262N16142
0.7133,0.022,2008268N12140
0.0552,0.0742,2008269N21290
0.8465,0.0566,2008270N39325
0.2666,0.035,2008272N08139
0.102,0.3349,2008272N15113
0.9958,0.9899,2008275N16245
0.0318,0.3635,2008278N13261
0.1088,0.1154,2008280N18268
0.1476,0.0439,2008283N12271
0.0823,0.1519,2008286N16323
0.0053,0.0795,2008286N17109
0.8637,0.0354,2008287N15291
0.0615,0.127,2008289N15277
0.0595,0.0353,2008290S05071
0.0559,0.6993,2008292N20152
0.0531,0.0363,2008293N09060
0.0623,0.1473,2008297N12255
0.0656,0.7345,2008298N16085
0.1162,0.4337,2008308N08252
0.9938,0.0619,2008311N08128
0.9468,0.3594,2008311N14278
0.0497,0.3741,2008317N11089
0.9728,0.1104,2008319S07086
0.1171,0.0461,2008320N08122
0.1157,0.0633,2008320N23146
0.0823,1.0,2008323S08089
0.7441,0.1616,2008329N09082
0.0603,0.0619,2008338N06092
0.6732,0.0574,2008343N16168
0.0171,0.0634,2008348S10077
0.4226,0.1054,2008351S11128
0.0736,0.0516,2008356S14138
0.0967,0.1748,2009008S13069
0.08,0.0457,2009011S16139
0.0378,0.2088,2009017S15059
0.7487,0.0513,2009017S20043
0.0435,0.1414,2009024S17123
0.0295,0.1275,2009025S12177
0.9043,0.0545,2009031S16147
0.4547,0.0452,2009032S15071
0.0701,0.193,2009034S16126
0.0148,0.0592,2009045S18174
0.2479,0.0844,2009051S11075
0.2063,0.1015,2009059S10101
0.9947,0.0215,2009064S13148
0.9793,0.0373,2009066S12081
0.0807,0.0849,2009069S19204
0.0924,0.0523,2009074S10129
0.1148,0.1171,2009075S18197
0.9974,0.3187,2009082S15154
0.7108,0.035,2009082S16039
0.2285,0.1574,2009092S15178
0.0103,0.1246,2009093S12062
0.9754,0.6188,2009104N13088
0.9998,0.7016,2009107S07133
0.9773,0.0248,2009121N13124
0.5273,0.0309,2009123N10111
0.9912,0.9704,2009143N17089
0.0888,0.2119,2009147N31285
0.9504,0.0482,2009164N10131
0.0603,0.3089,2009167N14257
0.0435,0.0208,2009171N15264
0.0848,0.037,2009173N10132
0.9982,1.0,2009174N18072
0.0687,0.0721,2009185N13260
0.1078,0.0998,2009189N17129
0.1103,0.8566,2009190N09254
0.0884,0.1542,2009192N16130
0.0712,0.0716,2009194N11257
0.0974,0.0563,2009196N14129
0.9861,0.9931,2009201N21089
0.1206,0.4321,2009210N11231
0.9705,0.1097,2009213N16130
0.1064,0.2463,2009215N10242
