x,y,ID
0.0243,0.1004,1860247N13298
0.1084,0.0426,1860252N18284
0.7886,0.2684,1860258N14336
0.3058,0.0413,1860259N27296
0.1438,0.1285,1860262N22294
0.4044,0.0679,1860267N12318
0.6156,0.5501,1860269N20266
0.6613,0.0206,1860289N14290
0.1391,0.0879,1860336S08087
0.073,0.0815,1860336S09086
0.5152,0.9367,1861011S17051
0.7757,0.1859,1861011S17411
0.1569,0.9275,1861021S13086
0.0655,0.1902,1861021S13446
0.3173,0.088,1861039S10077
0.4186,0.2972,1861042S10077
0.2159,0.0239,1861042S16062
0.123,0.0685,1861046S16062
0.0341,0.0838,1861052S08069
0.2213,0.1772,1861070S11100
0.9473,0.9922,1861091S07085
0.0937,0.1124,1861101S09083
0.1055,0.0766,1861101S09084
0.0824,0.9847,1861185N15303
0.1963,0.9742,1861202N37285
0.213,0.1643,1861210N15276
0.4026,0.0943,1861221N13316
0.017,0.133,1861226N21290
0.2479,0.8897,1861237N35296
0.6012,0.0944,1861254N19314
0.6543,0.115,1861255N13337
0.9679,0.0714,1861266N20269
1.0,0.1679,1861270N29283
0.0668,0.0514,1861275N19299
0.1435,0.0993,1861277N15320
0.7864,0.1452,1861279N20314
0.065,0.0367,1861290N25292
0.8544,0.1165,1861304N25267
0.9534,0.146,1861305N26278
0.07,0.1359,1861305S10085
0.128,0.0841,1861315S10085
0.1218,0.074,1861355S05087
0.0969,0.0756,1861355S06087
0.2544,0.9129,1861355S11068
0.2867,0.948,1862001S12081
0.975,0.0846,1862001S12104
0.4735,0.0575,1862001S13103
0.328,0.9967,1862011S21051
0.1371,0.9889,1862021S12055
0.0981,0.0549,1862052S08080
0.1486,0.087,1862052S23092
0.4295,0.0719,1862060S19101
0.7275,0.9914,1862070S15063
0.1579,0.0812,1862080S09082
0.1174,0.095,1862080S09442
0.4388,0.1417,1862147N28285
0.2026,0.1205,1862166N32284
0.2587,0.1273,1862189N28275
0.3349,0.1012,1862198N27264
0.7689,0.0658,1862229N24294
0.2242,0.2482,1862237N24265
0.2392,0.0286,1862247N15326
0.4366,0.1481,1862251N15325
0.0822,0.0999,1862255N26286
0.1941,0.0956,1862274S04058
0.9784,0.0667,1862275N12308
0.1944,0.088,1862284S04059
0.0892,0.1332,1862287N33290
0.0207,0.1291,1862305S12062
0.0764,0.0483,1862315S12062
1.0,0.9956,1862326N11280
0.2176,0.1135,1862345S07089
0.1765,0.0999,1862345S07090
0.1222,0.0522,1863011S11055
0.1103,0.1214,1863011S12055
0.0534,0.0762,1863032S12059
0.2916,0.098,1863032S13061
0.0193,0.127,1863032S14058
0.3021,0.1125,1863039S13061
0.0838,0.0951,1863042S15073
0.2461,0.1014,1863046S15073
0.9883,0.9868,1863111S13081
0.2279,0.1091,1863121S07089
0.1743,0.2212,1863141S07089
0.7643,0.1236,1863145N27272
0.8586,0.1371,1863217N35284
0.3071,0.151,1863220N38309
0.9206,0.0756,1863228N26299
0.5107,0.1765,1863230N39302
0.2132,0.1213,1863231N27293
0.5735,0.055,1863239N31281
0.2847,0.9749,1863248N11308
0.2832,0.0794,1863255N15300
0.3055,0.1083,1863262N23264
0.6884,0.0249,1863270N21267
0.9893,0.9961,1863270N31290
0.2116,0.086,1863279N21300
0.2681,0.1498,1863305S12086
0.1494,0.1172,1863325S12086
0.9302,0.989,1863335S17067
0.1142,0.0677,1864011S06081
0.0764,0.0703,1864011S07080
0.0752,0.9453,1864052S14079
0.0393,0.9402,1864052S15067
0.9876,0.9823,1864102S07069
0.0955,0.107,1864112S09075
0.0797,0.078,1864112S10075
0.9929,0.9408,1864197N35285
0.5624,0.0764,1864206N32286
0.375,0.8923,1864239N15306
0.4444,0.5724,1864240N33319
0.1556,0.033,1864243N15338
0.0714,0.487,1864246N17315
0.9929,0.1218,1864283N18290
0.2503,0.0438,1864294N15326
0.5699,0.1363,1864296N29288
0.1757,0.1474,1865011S14057
0.1376,0.133,1865011S14058
0.2837,0.0793,1865021S32056
0.3852,0.1479,1865021S32057
0.1295,0.1522,1865042S12095
0.0253,0.1502,1865046S12094
0.0853,0.0891,1865052S13058
0.0953,0.0665,1865080S11085
0.1499,0.0652,1865080S11086
0.1192,0.1218,1865101S09076
0.1348,0.0999,1865232N30282
0.2349,0.2927,1865239N24282
0.2792,0.0913,1865247N13318
