x,y,ID
0.024,0.8671,2004255N11267
0.0183,0.2645,2004255N23120
0.6263,0.9775,2004256N23089
0.3824,0.0646,2004258N16300
0.1504,0.0895,2004260N11331
0.7741,0.0055,2004263N13153
0.0417,0.028,2004264N13328
0.5861,0.037,2004274N16069
0.8998,0.055,2004275N14139
0.9928,1.0,2004276N12087
0.0933,0.0481,2004279N14249
0.2501,0.5201,2004281N23087
0.1418,0.0355,2004283N24265
0.0268,0.2598,2004284N07157
0.0826,0.9404,2004284N30295
0.1619,0.0362,2004286N14263
0.1271,0.0742,2004288N09164
0.2058,0.4019,2004299N18251
0.1528,0.1207,2004299S09063
0.9241,0.1473,2004307N09068
0.426,0.048,2004312S05085
0.3715,0.0492,2004319N10134
0.0875,0.0165,2004325S06078
0.0361,0.2165,2004327N16125
0.6774,0.048,2004331N28320
0.0209,0.0773,2004332N02072
0.1155,0.1083,2004333N06154
0.2102,0.0325,2004338S09113
0.7662,0.0627,2004344N06178
0.9946,0.9614,2004348S15173
0.0468,0.2835,2004352N10154
0.0292,0.0247,2004357S06095
0.9012,0.1217,2004357S16216
0.54,0.9287,2004365S13120
0.5265,0.0176,2005003S09177
0.1673,0.034,2005006S09099
0.6799,0.0352,2005007N04085
0.9824,0.0387,2005012N04090
0.0056,0.0032,2005013N05153
0.0291,0.2194,2005013S14124
0.0947,0.1097,2005015S06089
0.148,0.0802,2005017S09061
0.2311,0.1461,2005022S14112
0.0875,0.1137,2005026S20040
0.4133,0.092,2005027S18168
0.0125,0.1076,2005029S11072
0.772,0.143,2005032S14195
0.9412,0.0943,2005035S14136
0.8749,0.1131,2005035S15118
0.3869,0.3081,2005041S13181
0.794,0.109,2005042S12190
0.0617,0.1364,2005054S09173
0.2138,0.1783,2005060S12179
0.8796,0.3196,2005063S12141
0.0045,0.0261,2005067S12120
0.1952,0.0683,2005071N06152
0.0103,0.0683,2005079S10067
0.0071,0.0415,2005089S10085
0.2284,0.1265,2005092S11102
0.1878,0.0762,2005103S08138
0.6551,0.0144,2005107N07151
0.1114,0.6939,2005110S17180
0.1386,0.128,2005138N10265
0.0391,0.0154,2005148N06156
0.1419,0.7433,2005160N17276
0.9963,0.0331,2005172N22069
0.0367,0.2258,2005173N14258
0.0612,0.0353,2005177N13263
0.9859,0.9976,2005179N22088
0.156,0.2268,2005180N20265
0.1373,0.044,2005185N15261
0.0147,0.3306,2005185N18273
0.1709,0.5117,2005186N12299
0.208,0.1785,2005192N11318
0.4147,0.0851,2005192N22155
0.2002,0.0427,2005199N15256
0.0519,0.04,2005199N21168
0.494,0.0617,2005202N13138
0.0282,0.0127,2005203N25285
0.1454,0.384,2005205N19267
0.1413,0.283,2005210N19115
0.9983,0.9763,2005210N21088
0.0283,0.0311,2005211N09141
0.1885,0.3723,2005215N14224
0.9221,0.221,2005215N28291
0.0967,0.0338,2005217N13327
0.1549,0.0879,2005222N14131
0.172,0.0845,2005222N14246
0.4343,0.0464,2005223N13251
0.0222,0.1466,2005226N13316
0.0254,0.9849,2005229N21156
0.39,0.9981,2005230N20144
0.1595,0.3745,2005232N13263
0.2283,0.7879,2005235N19266
0.147,0.9553,2005236N23285
0.548,0.0229,2005237N14148
0.1544,0.3824,2005238N17255
0.0364,0.0249,2005241N14315
0.0405,0.356,2005241N15155
0.1491,0.0218,2005245N19315
0.0523,0.0205,2005248N08142
0.436,0.0572,2005249N26281
0.5359,0.588,2005249N28293
0.2149,0.9306,2005255N14113
0.1787,0.1709,2005255N15246
0.9155,0.2498,2005255N20088
0.0128,0.1437,2005257N15120
0.0877,0.1196,2005257N20069
0.5908,0.0885,2005258N12242
0.5614,0.9977,2005260N20091
0.9859,0.147,2005261N13245
0.0082,0.0756,2005261N13306
0.0597,0.0759,2005261N14252
0.1683,0.1997,2005261N21290
0.0255,0.01,2005262N13127
0.138,0.1804,2005262N20155
0.0259,0.0486,2005266N15252
0.0573,0.0258,2005268N19146
0.755,0.0766,2005271N17255
0.0512,0.1542,2005274N12327
0.1571,0.2683,2005274N17086
0.0386,0.2049,2005275N19274
0.1813,0.2523,2005277N34328
0.073,0.0352,2005278N27280
0.0835,0.2163,2005279N17111
0.6932,0.0584,2005281N26303
0.0334,0.1217,2005281N33339
0.4084,0.0345,2005282N22138
0.1357,0.2936,2005287S09084
0.1444,0.2295,2005288N11259
0.03,0.0546,2005289N18282
0.0431,0.9957,2005296N16293
0.2431,0.887,2005298N12088
0.0504,0.0347,2005300N10279
0.4418,0.0979,2005301N13117
0.1512,0.0311,2005308S07098
