tid,geometric,kinematic,curvature,indentation,speed,acceleration
1842298N11080,0.10971511099959591,0.1610360895357324,0.0708789230053384,0.10978984561515076,0.1891675380383686,0.03273820248371789
1845336N10074,0.27066667799224164,0.2614435857175419,0.2840043670827479,0.14999307989649951,0.3210591334535447,0.03021403643663889
1848011S09079,0.3068847206312536,0.22661188559159423,0.11695162474110912,0.3184032227888513,0.18081092377632568,0.16151400147982425
1848011S09080,0.20710910463414012,0.0432109976540737,0.24777542762912255,0.09859126733360946,0.05033665221900625,0.01369959725418432
1848011S15057,0.33464965744624553,0.19470712642073468,0.19095965264635725,0.2977345800797251,0.19188158322856042,0.08919201186673624
1848011S16057,0.5946502699637232,0.26100549449407656,0.09433458946335341,0.6894732859532127,0.1370829432817457,0.28336040243763516
1848061S12073,0.27378273612740367,0.2591235689385174,0.07318396216929565,0.3100869562982031,0.2958522605203205,0.0608574264598092
1848061S12075,0.43893503647117205,0.2669711145596752,0.20407782177170344,0.41641123168047894,0.2725685326139469,0.10702482735057016
1848112S07084,0.16958910087573553,0.059285973377272136,0.07438426422023411,0.1809106022691856,0.07829207089730982,0.0038548138532440504
1848112S07444,0.1650467585213638,0.10293353560260536,0.10380488289190751,0.153511746316304,0.11670819034940648,0.028868360871104656
1851080S15062,0.2112220662482982,0.09403117124961098,0.12977032035736727,0.1911191003446332,0.12123892963026404,0.0066985234811148195
1851080S15063,0.1947895812453338,0.10662942936288057,0.09164646699566939,0.19914376562975827,0.13582805434443662,0.009086353401019522
1851080S21060,0.33639932618287993,0.1405282753946685,0.2635671668652019,0.24607310695171475,0.14331755303333377,0.05935623006200494
1851080S21420,0.3409787958356255,0.06845808359281223,0.2922950595635052,0.23041877184495363,0.06949983328858485,0.03238877647584598
1851305S08089,0.08255139423553953,0.19630572529597679,0.06359148272137397,0.08174631828696938,0.23330947787426226,0.034870056965985885
1852001S12077,0.16082673746709863,0.12657883998932984,0.1797932983761574,0.09199431138860636,0.13609389913939252,0.04438660511808275
1852001S13076,0.11101724113491146,0.08297865329979333,0.05901865880390958,0.12018374213018834,0.09041473660455597,0.0294824363713395
1852021S14075,0.057858787747799845,0.05730566938394173,0.07088986451132637,0.045934487619216424,0.05860830474528221,0.027482407424550215
1854032S17059,0.4383547586619255,0.2417053679656832,0.2312590876389277,0.39555038129963954,0.2682271432943683,0.06784479023908727
1854039S18060,0.4427837981904027,0.222975777410597,0.38944889152496,0.2837553844260775,0.23834063455856402,0.07560878748201484
1854060S15069,0.4042840783609666,0.19841207218084222,0.43565768383380055,0.20210389280470425,0.2393552257333062,0.03029142728566739
1854060S16069,0.6655610365896301,0.14519838286989978,0.7981626895744086,0.2551129763027489,0.1557856790710891,0.05049693532590707
1854303N14072,0.20356964832195718,0.10885362055735413,0.2292677761576362,0.10795099492384685,0.1129029827057648,0.0447048354083454
1854305S10073,0.07715784838276468,0.022158185008718537,0.04020743599360721,0.0924375478344942,0.03088475298441816,0.002907778700760359
1854325S10073,0.041180149542112576,0.04895506327587741,0.041505531990887023,0.047178464167156986,0.058085941895858875,0.013273495964603803
1855021S14076,0.10681772850794741,0.1252849881595151,0.08376720694543424,0.09666986621492979,0.14308777404166,0.032420189383511794
1855021S15057,0.18950204864149223,0.14735499182578815,0.01743547689481359,0.24763777684457228,0.1479261658163717,0.06520063921896763
1855121S08073,0.11421736790889087,0.045396729297841706,0.1306084391184736,0.07106245253099769,0.029286519430887573,0.046661469625921034
1855131S08073,0.10344307795155316,0.032875315914498035,0.07469163018137678,0.09924157983492021,0.044018898978289325,0.003940582973868123
1856032S17058,0.1394125843204696,0.14343373393666575,0.11106944016395484,0.11656569611296896,0.17519914270362963,0.020546890202088608
1856092S16060,0.21816910870181117,0.035156430938731345,0.1947079238624946,0.15154164427809863,0.04476546786078707,0.006988508515240813
