tid,geometric,kinematic,curvature,indentation,speed,acceleration
316007823,0.8369,0.9619,0.9024,0.7039,0.9661,0.8443
316007990,0.221,0.0146,0.7755,0.3867,0.0237,0.0145
316008041,0.9668,0.9761,0.9853,0.8029,0.9795,0.7163
316008068,0.8095,0.8077,0.806,0.7694,0.8407,0.0408
316008174,0.1334,0.0723,0.1269,0.1477,0.0883,0.0201
316008380,0.1381,0.0748,0.1273,0.1768,0.0894,0.0228
316008425,0.1311,0.271,0.1186,0.1587,0.2059,0.9817
316008511,0.1358,0.0751,0.1246,0.1694,0.0897,0.0242
316008556,0.9518,0.068,0.9651,0.7565,0.2006,0.0152
316008627,0.9086,0.0577,0.9429,0.7599,0.1363,0.0183
316008708,0.1265,0.0588,0.1273,0.0928,0.0742,0.0014
316008779,0.1334,0.0748,0.1269,0.1488,0.0901,0.0232
316008900,0.1512,0.9818,0.1273,0.2262,0.9696,0.9965
316008917,0.9244,0.0773,0.9084,0.1768,0.0904,0.0246
316008968,0.8103,0.0285,0.8695,0.5267,0.0417,0.0228
316009004,0.1327,0.0741,0.1246,0.1488,0.089,0.0225
316009063,0.2175,0.0691,0.9334,0.0899,0.0675,0.3069
316009165,0.0725,0.0114,0.0722,0.5149,0.0205,0.0087
316009192,0.8388,0.9434,0.7866,0.9109,0.9509,0.0152
316009219,0.1257,0.0659,0.125,0.1006,0.0844,0.0118
316009304,0.784,0.9459,0.839,0.4792,0.952,0.7526
316009498,0.9441,0.9491,0.9655,0.1569,0.9537,0.0516
316009547,0.3074,0.9188,0.1186,0.8144,0.8725,0.9716
316009747,0.9946,0.0766,0.9814,0.9628,0.0908,0.0256
316009841,0.1327,0.0677,0.1273,0.1168,0.0876,0.0159
316009842,0.1172,0.0552,0.1123,0.1046,0.071,0.0204
316009843,0.1196,0.0477,0.1257,0.0936,0.0668,0.0131
316009853,0.1458,0.0897,0.1273,0.207,0.112,0.0156
316009863,0.7782,0.9761,0.781,0.7433,0.9792,0.0263
316010062,0.0995,0.0374,0.0865,0.1193,0.0424,0.0176
316010256,0.9961,0.0766,0.9937,0.9849,0.0897,0.0246
316010312,0.1296,0.0755,0.1246,0.1297,0.0908,0.0242
316010381,0.7794,0.0146,0.7842,0.3481,0.0162,0.0439
316010415,0.4288,0.052,0.0992,0.7477,0.2155,0.0
316010463,0.1253,0.0573,0.1246,0.1024,0.0703,0.0135
316010495,0.7833,0.8526,0.7791,0.7381,0.9014,0.6225
316010543,0.1277,0.0755,0.1158,0.182,0.0887,0.0263
316010632,0.091,0.187,0.0853,0.0866,0.1561,0.9647
316010905,0.8785,0.0684,0.7993,0.0589,0.0834,0.0249
316010956,0.1543,0.12,0.4883,0.1856,0.7029,0.0107
316011116,0.9167,0.0734,0.8953,0.2424,0.0887,0.0239
316011319,0.1342,0.0723,0.1234,0.1562,0.089,0.0218
316011328,0.108,0.0292,0.1142,0.0446,0.041,0.0163
316011407,0.1473,0.0723,0.1238,0.207,0.0904,0.0228
316011408,0.4944,1.0,0.1055,0.8173,0.9958,0.9997
316011409,0.8866,0.9932,0.098,0.8287,0.9912,0.7149
316011504,0.845,0.8009,0.8397,0.7599,0.8294,0.0121
316011515,0.8292,0.7806,0.8568,0.7481,0.799,0.0083
316011516,0.8616,0.8996,0.8647,0.0486,0.9181,0.0118
316011603,0.1485,0.0313,0.1476,0.1168,0.0424,0.0166
316011649,0.1319,0.0534,0.1261,0.1079,0.0759,0.027
316011730,0.7651,0.0057,0.7092,0.7411,0.0131,0.0173
