x,y,ID
0.9623,0.1698,116
0.0755,0.1321,118
0.0566,0.4906,125
0.9623,0.1132,131
0.1321,0.0566,144
0.0755,0.8302,161
0.0377,0.0566,166
0.0566,0.9623,168
0.3962,0.9811,183
0.0189,0.9245,184
0.9811,0.0189,201
0.9623,0.0566,215
0.0,0.8868,217
0.0566,0.9245,247
0.0377,0.283,248
0.0189,0.0,250
0.0377,0.0189,251
1.0,0.5472,252
0.0566,0.0,253
0.6038,0.0566,255
0.0566,0.0189,256
0.0377,0.0566,257
0.0377,0.8113,263
0.0377,1.0,264
0.0377,0.1132,272
0.0943,0.0,273
1.0,0.4151,274
0.0189,0.0755,275
0.0377,0.4151,276
0.0566,0.2453,277
0.0566,0.1321,278
0.0189,0.0755,283
0.0189,0.3962,301
0.0189,0.0377,318
0.0377,0.2075,323
0.0755,0.1321,327
0.0943,0.2264,333
0.0377,0.8679,334
0.0377,0.1509,335
0.0377,0.9245,338
0.0189,0.0566,339
0.0189,0.9623,340
0.0377,0.0189,341
0.1132,0.1132,342
0.0377,0.1698,343
0.0377,0.0,346
0.0377,0.0,347
1.0,0.1509,348
0.0377,0.2453,349
0.0377,0.0755,350
1.0,0.1698,351
0.0566,1.0,352
0.3585,0.0,353
0.0377,0.7547,364
0.0189,0.1698,367
0.0943,0.0566,368
0.0189,0.1321,369
0.0189,0.1509,374
1.0,0.1887,382
0.0377,0.0755,401
0.9623,0.0189,402
0.7925,0.2075,407
1.0,0.1698,417
0.9245,0.1887,428
0.0377,0.1698,430
0.0,0.1509,432
