x,y,ID
0.9623,0.193,116
0.0755,0.1579,118
0.0566,0.7895,125
0.9623,0.4561,131
0.1321,0.1053,144
0.0755,0.8596,161
0.0377,0.2281,166
0.0566,0.7193,168
0.3962,0.9649,183
0.0189,0.3684,184
0.9811,0.2632,201
0.9623,0.1579,215
0.0,0.9298,217
0.0566,0.5439,247
0.0377,0.4211,248
0.0189,0.1404,250
0.0377,0.0526,251
1.0,0.8772,252
0.0566,0.1579,253
0.6038,0.0,255
0.0566,0.1754,256
0.0377,0.1579,257
0.0377,0.614,263
0.0377,1.0,264
0.0377,0.193,272
0.0943,0.1404,273
1.0,0.4386,274
0.0189,0.1228,275
0.0377,0.3684,276
0.0566,0.0702,277
0.0566,0.0877,278
0.0189,0.1228,283
0.0189,0.4386,301
0.0189,0.1228,318
0.0377,0.7018,323
0.0755,0.3509,327
0.0943,0.2105,333
0.0377,0.8421,334
0.0377,0.6491,335
0.0377,0.9649,338
0.0189,0.1754,339
0.0189,0.8421,340
0.0377,0.2105,341
0.1132,0.2105,342
0.0377,0.6491,343
0.0377,0.0877,346
0.0377,0.1228,347
1.0,0.2456,348
0.0377,0.8246,349
0.0377,0.1404,350
1.0,0.2982,351
0.0566,0.6491,352
0.3585,0.1228,353
0.0377,0.8596,364
0.0189,0.2807,367
0.0943,0.1228,368
0.0189,0.2281,369
0.0189,0.2982,374
1.0,0.3333,382
0.0377,0.2105,401
0.9623,0.1053,402
0.7925,0.3158,407
1.0,0.3333,417
0.9245,0.2632,428
0.0377,0.2632,430
0.0,0.2105,432
